Time,Rint_veg (W m-2),Rint_soil (W m-2),Rint_dir(W m-2),Rint_dif (W m-2),Tleaf_sunlit(C),Tleaf_shade(C),Tcanopy,Ep (l h-1),VPD (kPa),Pstem (kPa),Pleaf_sun (kPa),Pleaf_shade (kPa),Gc (mol m-2 s-1),Gs_sun (mol m-2 s-1),Gs_shade (mol m-2 s-1),Pn (micromol plant-1 s-1),Lp mean (kg m-2 s-1 kPa-1),totalFlux (kg m-2 s-1)
2019-06-27 17:00:00,0.0,0.0,0.0,0.0,33.97759890679129,33.97759890679129,33.97759890679129,0.2781891911830954,3.744778426513886,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,1.71721722952528e-05
2019-06-27 18:00:00,0.0,0.0,0.0,0.0,31.69707502935191,31.69707502935191,31.69707502935191,0.22349903329776138,3.0085797175682085,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,1.3796236623318604e-05
2019-06-27 19:00:00,0.0,0.0,0.0,0.0,29.116225246991046,29.116225246991046,29.116225246991046,0.18056176410235122,2.430589757956284,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,1.1145787907552542e-05
2019-06-27 20:00:00,0.0,0.0,0.0,0.0,27.131416733637966,27.131416733637966,27.131416733637966,0.15000347966637587,2.0192365927939515,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,9.25947405347999e-06
2019-06-27 21:00:00,0.0,0.0,0.0,0.0,23.556180472804545,23.556180472804545,23.556180472804545,0.0929919133558949,1.251788789831906,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,5.740241565178697e-06
2019-06-27 22:00:00,0.0,0.0,0.0,0.0,21.96470395283723,21.96470395283723,21.96470395283723,0.07458275227565699,1.0039781938475314,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,4.6038735972627775e-06
2019-06-27 23:00:00,0.0,0.0,0.0,0.0,19.579840463941977,19.579840463941977,19.579840463941977,0.042329391131368396,0.569807151895731,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,2.612925378479531e-06
2019-06-28 00:00:00,0.0,0.0,0.0,0.0,18.8783451040956,18.8783451040956,18.8783451040956,0.04538638627052436,0.610958173610067,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,2.801628782131134e-06
2019-06-28 01:00:00,0.0,0.0,0.0,0.0,17.885434523313652,17.885434523313652,17.885434523313652,0.030448839019732603,0.409879891409734,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,1.8795579641810247e-06
2019-06-28 02:00:00,0.0,0.0,0.0,0.0,17.685609441191335,17.685609441191335,17.685609441191335,0.030067693199520948,0.4047491865149304,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,1.8560304444148733e-06
2019-06-28 03:00:00,0.0,0.0,0.0,0.0,17.782626651574756,17.782626651574756,17.782626651574756,0.036309287537832656,0.4887689420121068,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,2.241314045545226e-06
